file_id,region_current,condition_current,n_candidates_current,n_accepted_candidates_current,best_trace_rmse_mV_current,best_weighted_pass_fraction_current,holdout_pass_count_current,holdout_mean_rmse_mV_current,holdout_mean_pass_fraction_current,cell_reviewer_facing_current,accepted_effective_cluster_count_current,accepted_effective_min_pairwise_distance_current,effective_diverse_candidates_current,effective_diverse_cluster_count_current,effective_diverse_min_pairwise_distance_current,region_previous,condition_previous,n_candidates_previous,n_accepted_candidates_previous,best_trace_rmse_mV_previous,best_weighted_pass_fraction_previous,holdout_pass_count_previous,holdout_mean_rmse_mV_previous,holdout_mean_pass_fraction_previous,cell_reviewer_facing_previous,accepted_effective_cluster_count_previous,accepted_effective_min_pairwise_distance_previous,effective_diverse_candidates_previous,effective_diverse_cluster_count_previous,effective_diverse_min_pairwise_distance_previous,n_candidates_delta,n_accepted_candidates_delta,best_trace_rmse_mV_delta,best_weighted_pass_fraction_delta,holdout_pass_count_delta,holdout_mean_rmse_mV_delta,holdout_mean_pass_fraction_delta,accepted_effective_cluster_count_delta,effective_diverse_candidates_delta,effective_diverse_cluster_count_delta,reviewer_facing_status_delta
1_DH_1_CONTROL,DH,CONTROL,160,4,13.516104238707328,0.3333333333333332,2,13.517363828352613,0.3466527547395403,False,4,1.585120652008604,4,4,1.585120652008604,DH,CONTROL,111,2,7.598614341672754,0.3592140714053211,3,7.581328705455518,0.3596089913772268,True,2,5.229713110370127,2,2,5.229713110370127,49,2,5.917489897034574,-0.025880738071987874,-1,5.936035122897095,-0.012956236637686469,2,2,2,lost
1_DH_2_CONTROL,DH,CONTROL,160,4,7.783344923860946,0.3333333333333332,2,7.782389507575149,0.3430748720931917,False,4,1.585120652008604,4,4,1.585120652008604,DH,CONTROL,111,4,13.977227693028652,0.3592629870825042,3,13.982361406690702,0.3593400005006864,True,4,1.631137343657992,3,3,2.122473025223047,49,0,-6.193882769167707,-0.025929653749171,-1,-6.199971899115552,-0.016265128407494667,0,1,1,lost
1_VH_1_CONTROL,VH,CONTROL,160,0,15.32375950619688,0.2857142857142857,0,14.23845542826828,0.2857142857142857,False,0,,0,0,,VH,CONTROL,111,4,6.460123378392464,0.3090362481637552,1,6.452548930367247,0.3093203980865881,False,2,0.0,3,2,0.17532444306561368,49,-4,8.863636127804416,-0.02332196244946949,-1,7.785906497901032,-0.023606112372302424,-2,-3,-2,still_not_reviewer_facing
1_VH_2_CONTROL,VH,CONTROL,160,0,15.663758676191197,0.2857142857142857,0,15.251970909641429,0.2857142857142857,False,0,,0,0,,VH,CONTROL,111,13,6.896417008210958,0.3864627003840549,1,6.917792427006322,0.2972629025202522,False,3,1.7283823680482803e-07,3,3,0.625814547255836,49,-13,8.76734166798024,-0.10074841466976919,-1,8.334178482635107,-0.011548616805966527,-3,-3,-3,still_not_reviewer_facing
2_DH_1_CONTROL,DH,CONTROL,160,4,6.021398994208609,0.3333333333333332,2,6.0204881482616175,0.3419407769805411,False,4,1.585120652008604,4,4,1.585120652008604,DH,CONTROL,111,2,12.448600024573151,0.3592629849136366,3,12.449729895697262,0.3592784978311763,True,2,3.9144392928359464,2,2,3.9144392928359464,49,2,-6.427201030364542,-0.025929651580303414,-1,-6.429241747435644,-0.01733772085063523,2,2,2,lost
2_VH_1_CONTROL,VH,CONTROL,160,0,16.49388072724993,0.2857142857142857,0,16.25633833683899,0.2857142857142857,False,0,,0,0,,VH,CONTROL,111,0,17.750486192918853,0.2995732272973441,1,17.854380234709343,0.2491434398589918,False,0,,0,0,,49,0,-1.2566054656689225,-0.013858941583058393,-1,-1.5980418978703526,0.03657084585529391,0,0,0,still_not_reviewer_facing
3_DH_1_CONTROL,DH,CONTROL,160,4,8.861672688182662,0.3333333333333332,2,8.860592494863253,0.3406949850831772,False,4,1.585120652008604,4,4,1.585120652008604,DH,CONTROL,111,3,15.033451490435638,0.3592629849136366,3,15.03473662999395,0.3592932305184015,True,2,0.012254168586339582,1,1,,49,1,-6.171778802252977,-0.025929651580303414,-1,-6.174144135130698,-0.018598245435224314,2,3,3,lost
3_DH_2_CONTROL,DH,CONTROL,160,4,8.621824229888235,0.3333333333333332,2,8.620770202958193,0.3490727699420439,False,4,1.585120652008604,4,4,1.585120652008604,DH,CONTROL,111,2,14.757077556565273,0.3592629849136366,3,14.75816737558676,0.3592785028336003,True,2,5.270190587525519,2,2,5.270190587525519,49,2,-6.135253326677038,-0.025929651580303414,-1,-6.137397172628567,-0.010205732891556407,2,2,2,lost
3_VH_1_CONTROL,VH,CONTROL,160,0,15.905019386320289,0.2857142857142857,0,15.29428194668539,0.2857142857142857,False,0,,0,0,,VH,CONTROL,111,0,7.4334704215152385,0.2889735383457647,1,7.433474252631195,0.2889742285847283,False,0,,0,0,,49,0,8.47154896480505,-0.003259252631479026,-1,7.860807694054194,-0.0032599428704426225,0,0,0,still_not_reviewer_facing
DH_1_CONTROL,DH,CONTROL,160,4,6.933250245041847,0.3768793777814836,2,6.933349910397763,0.3768791346095088,False,4,1.585120652008604,4,4,1.585120652008604,DH,CONTROL,111,3,14.37998457908929,0.3598312687182541,3,14.379885750991996,0.3598628598328197,True,3,3.3570689123562167,3,3,3.3570689123562167,49,1,-7.446734334047443,0.01704810906322951,-1,-7.446535840594232,0.0170162747766891,1,1,1,lost
DH_1_MFA,DH,MFA,160,146,8.089413736004987,0.4093113381084974,6,3.907479588021234,0.334080876376356,True,145,0.3280172943120024,5,5,4.872997375563501,DH,MFA,111,111,6.612076131214443,0.4243595874860515,6,5.002370704090611,0.3528956730180694,True,70,0.0,3,3,3.885441445055122,49,35,1.4773376047905442,-0.015048249377554113,0,-1.0948911160693768,-0.018814796641713427,75,2,2,retained
DH_1_MFA_BA,DH,MFA_BA,160,143,6.344535008563045,0.4285714285714285,6,4.398420521135662,0.4281645917341666,True,142,0.3280172943120024,5,5,4.503975333417233,DH,MFA_BA,111,110,9.2903736093772,0.5002343326983888,6,9.290373597988715,0.5002343324077609,True,67,0.0,3,3,5.154156569767619,49,33,-2.945838600814155,-0.0716629041269603,0,-4.891953076853053,-0.07206974067359434,75,2,2,retained
DH_2_CONTROL,DH,CONTROL,160,4,8.160693709475876,0.3768793777814836,2,8.161763089795288,0.376879691979451,False,4,1.585120652008604,4,4,1.585120652008604,DH,CONTROL,111,1,6.691091388914987,0.3205460241541799,3,6.680108984440455,0.3200100880015195,True,1,,1,1,,49,3,1.469602320560889,0.05633335362730374,-1,1.481654105354833,0.056869603977931504,3,3,3,lost
DH_2_MFA,DH,MFA,160,146,7.9021546353173,0.4093113381084974,6,2.5841375111789437,0.3341419743822553,True,145,0.3280172943120024,5,5,4.872997375563501,DH,MFA,111,105,6.531705655214541,0.4039584588384186,6,6.514858125927517,0.4034658048643297,True,68,0.0,3,3,4.598120834291009,49,41,1.3704489801027586,0.005352879270078825,0,-3.930720614748573,-0.06932383048207441,77,2,2,retained
DH_2_MFA_BA,DH,MFA_BA,160,143,3.105258406507179,0.4285714285714285,6,1.9397325366821283,0.4229170925828087,True,142,0.3280172943120024,5,5,4.872997375563501,DH,MFA_BA,111,111,4.77898306267596,0.5002343326983888,6,4.7789830521136345,0.5002343324077609,True,75,0.0,3,3,4.247463363192699,49,32,-1.6737246561687806,-0.0716629041269603,0,-2.839250515431506,-0.07731723982495226,67,2,2,retained
DH_3_MFA,DH,MFA,160,146,6.693808356310075,0.4093113381084974,6,1.712191111032575,0.3341939790567113,True,145,0.3280172943120024,5,5,4.872997375563501,DH,MFA,111,111,5.1738325931057805,0.3999937647234321,6,5.174060065392665,0.4000036341686446,True,63,0.0,3,3,5.0959065361740885,49,35,1.519975763204295,0.009317573385065281,0,-3.4618689543600905,-0.06580965511193332,82,2,2,retained
DH_3_MFA_BA,DH,MFA_BA,160,143,1.890510560301817,0.4285714285714285,6,1.2656080707428103,0.4209804918136539,True,142,0.3280172943120024,5,5,4.503975333417233,DH,MFA_BA,111,111,3.6648485637389294,0.6539194370885316,6,3.664848557554818,0.6539198194098773,True,64,0.0,3,3,5.347644486768724,49,32,-1.7743380034371123,-0.22534800851710313,0,-2.3992404868120074,-0.23293932759622343,78,2,2,retained
DH_4_MFA,DH,MFA,160,146,8.561567657595115,0.4093113381084974,6,4.282145430114264,0.3347459537893081,True,145,0.3280172943120024,5,5,4.872997375563501,DH,MFA,111,105,6.987205761191735,0.407066898141559,6,6.708083239584087,0.4028785587054139,True,64,0.0,3,3,3.7531156779009494,49,41,1.5743618964033796,0.002244439966938405,0,-2.425937809469823,-0.06813260491610579,81,2,2,retained
