fit_scope,file_id,candidate_id,simulation_health,trace_rmse_mV,trace_objective_loss,pass_stim_end_depolarization_mV,pass_rise_tau_s,pass_undershoot_magnitude_mV,pass_decay_tau_s,weighted_pass_fraction,weighted_feature_penalty,feature_loss,binary_penalty,peak_depolarization_mV,stim_end_depolarization_mV,rise_slope_mV_per_s,rise_tau_s,plateau_slope_mV_per_s,undershoot_magnitude_mV,decay_slope_mV_per_s,decay_tau_s,return_slope_mV_per_s,plateau_reached_sim,has_undershoot_sim,sweep,current_na,region,condition,pass_peak_depolarization_mV,pass_rise_slope_mV_per_s,pass_plateau_slope_mV_per_s,pass_decay_slope_mV_per_s,pass_return_slope_mV_per_s
all6,1_VH_1_CONTROL,1_VH_1_CONTROL__hybrid_pre_01,ok,4.0714724420155175,1040.9958536612141,False,False,True,False,0.28571428571428575,0.7142857142857143,0.7142857142857143,0.0,2.699251583875096,-0.023440342021729066,-0.00010447859357795534,25835.450989882294,-2.1971858303007555e-07,0.02344152865829585,-1.1042815407561113e-07,24443509.053197563,-4.541647254962434e-08,True,True,1,50,VH,CONTROL,,,,,
all6,1_VH_1_CONTROL,1_VH_1_CONTROL__hybrid_pre_01,ok,6.294187988844354,2142.781417449783,False,False,False,False,0.14961854194771146,0.8503814580522886,0.8503814580522886,0.0,4.067591995627339,-0.023441603112146936,-4.02190628829405e-05,101135.9217261292,-2.0799594202829015e-08,0.023441715537472874,-1.0906186322111138e-08,372961902.12528527,-4.1711706012103004e-09,True,True,2,75,VH,CONTROL,,,,,
all6,1_VH_1_CONTROL,1_VH_1_CONTROL__hybrid_pre_01,ok,8.538665423905455,3671.2657853063515,False,False,True,False,0.28571428571428575,0.7142857142857143,0.7142857142857143,0.0,5.625391769203688,-0.023441725362175703,-1.258412144442038e-05,447023.0038742916,-1.078830924837194e-09,0.023441736095904275,-1.0788348852734248e-09,5214321344.250898,-3.39053795145984e-10,True,True,3,100,VH,CONTROL,,,,,
all6,1_VH_1_CONTROL,1_VH_1_CONTROL__hybrid_pre_01,ok,11.176904580406534,5971.140098352047,False,False,True,False,0.28571428571428575,0.7142857142857143,0.7142857142857143,0.0,7.640817025176972,-0.023441737777005756,-2.4794394599234205e-06,3081671.139255388,-2.400375610949671e-11,0.023441738076883212,-2.4006132091952647e-11,318286052743.09607,-1.3497038409476714e-11,True,True,4,125,VH,CONTROL,,,,,
all6,1_VH_1_CONTROL,1_VH_1_CONTROL__hybrid_pre_01,ok,13.006346255832662,7894.671703841788,False,False,False,False,0.0,1.0000000000000002,1.0000000000000002,0.0,8.543021472998987,-0.023441738009410074,-1.1198116712298199e-06,7628980.5620767595,-5.771922092382676e-12,0.023441738112992994,-5.764006822996515e-12,1482132435880.3855,-5.7719216848032624e-12,True,True,5,150,VH,CONTROL,,,,,
all6,1_VH_1_CONTROL,1_VH_1_CONTROL__hybrid_pre_01,ok,14.678437347302667,9865.936042212117,False,False,False,False,0.0,1.0000000000000002,1.0000000000000002,0.0,9.134781174989286,-0.02344173828537066,-6.374404335114718e-07,14330407.509088283,4.950504378436967e-10,0.023441738278094704,4.0458881035553325e-12,2257793824540.545,4.049376208696154e-12,True,True,6,175,VH,CONTROL,,,,,
all6,1_VH_1_CONTROL,1_VH_1_CONTROL__hybrid_pre_02,ok,4.504998892838697,1225.6857777305404,False,False,True,False,0.28571428571428575,0.7142857142857143,0.7142857142857143,0.0,3.356597823990782,-0.01777098860715398,-1.8095772766758504e-05,185490.71472409132,-9.112724076153177e-09,0.01777104886144798,-5.9203140661981885e-09,566962797.3210326,1.086163555604719e-09,True,True,1,50,VH,CONTROL,,,,,
all6,1_VH_1_CONTROL,1_VH_1_CONTROL__hybrid_pre_02,ok,6.91328476909728,2517.5726795870833,False,False,False,False,0.14749521760619733,0.8525047823938028,0.8525047823938028,0.0,5.01945263348712,-0.017771020711464303,-2.7918778601503823e-06,1797876.871739923,1.8969613662274233e-08,0.017771095481322163,2.4302794931072826e-08,206538081.22576872,-3.6936671056932915e-09,True,True,2,75,VH,CONTROL,,,,,
all6,1_VH_1_CONTROL,1_VH_1_CONTROL__hybrid_pre_02,ok,9.356045754420311,4316.427798676894,False,False,True,False,0.28571428571428575,0.7142857142857143,0.7142857142857143,0.0,6.886622713400413,-0.01777099122129755,2.7525812350608933e-07,25018781.01064678,3.6459067258054246e-08,0.01777114001562552,3.343171997891599e-08,205990679.44286215,-4.965869314342501e-09,True,True,3,100,VH,CONTROL,,,,,
all6,1_VH_1_CONTROL,1_VH_1_CONTROL__hybrid_pre_02,ok,12.248761304320288,7050.111928218785,False,False,True,False,0.28571428571428575,0.7142857142857143,0.7142857142857143,0.0,9.264376471110154,-0.01777103048046058,3.4705299603311517e-07,26694414.331539623,-1.9911145679853285e-09,0.01777103016236481,2.1060771847050163e-12,4398877941602.008,2.1007061091560893e-12,True,True,4,125,VH,CONTROL,,,,,
all6,1_VH_1_CONTROL,1_VH_1_CONTROL__hybrid_pre_02,ok,14.146845168567912,9213.988159395132,False,False,False,False,0.0,1.0000000000000002,1.0000000000000002,0.0,10.315792272643378,-0.017771034920116335,2.3692366782778518e-07,43540573.076648936,7.694532606224564e-09,0.01777109136671129,1.5242452042708523e-08,676780366.0289754,9.523693036172915e-10,True,True,5,150,VH,CONTROL,,,,,
all6,1_VH_1_CONTROL,1_VH_1_CONTROL__hybrid_pre_02,ok,15.861852333286244,11395.943350854272,False,False,False,False,0.0,1.0000000000000002,1.0000000000000002,0.0,11.00127189317682,-0.017771030251793718,1.7970354463943745e-07,61219003.30486024,-1.7322941151403015e-09,0.017771030160616874,2.2327599024754327e-12,4927207749019.431,2.229273278115952e-12,True,True,6,175,VH,CONTROL,,,,,
all6,1_VH_1_CONTROL,1_VH_1_CONTROL__hybrid_pre_03,ok,3.8609283818586246,954.9717946229996,False,False,True,False,0.28571428571428575,0.7142857142857143,0.7142857142857143,0.0,2.367080006351614,-0.018183998189002182,-0.00020614946696365983,11482.34842037639,-2.1410313700927882e-06,0.018200299341472714,-1.3395603712358258e-06,1767057.3549199868,-7.147081252814792e-07,True,True,1,50,VH,CONTROL,,,,,
all6,1_VH_1_CONTROL,1_VH_1_CONTROL__hybrid_pre_03,ok,5.988941516251289,1967.1857706061476,False,False,False,False,0.14765774759434316,0.852342252405657,0.852342252405657,0.0,3.576195811531278,-0.018201991597749156,-0.00011405147384459051,31355.98068994965,-4.123927031393761e-07,0.01820515343115403,-2.628593173643575e-07,13604980.212948669,-1.3838301087858073e-07,True,True,2,75,VH,CONTROL,,,,,
all6,1_VH_1_CONTROL,1_VH_1_CONTROL__hybrid_pre_03,ok,8.129395281593569,3365.9205341903958,False,False,True,False,0.28571428571428575,0.7142857142857143,0.7142857142857143,0.0,4.962042111907181,-0.018205682585843874,-5.389192192931968e-05,92073.94975475168,-6.569515452684417e-08,0.01820615100241696,-3.726149751614776e-08,133168080.79859953,-2.0745871662358074e-08,True,True,3,100,VH,CONTROL,,,,,
all6,1_VH_1_CONTROL,1_VH_1_CONTROL__hybrid_pre_03,ok,10.627857818753052,5451.518999676837,False,False,True,False,0.28571428571428575,0.7142857142857143,0.7142857142857143,0.0,6.769433267353108,-0.01820625961653377,-1.8880558962368943e-05,358539.8759033216,-6.527434811207543e-09,0.01820630782779631,-4.220684756544746e-09,1603870854.5707376,-2.014102382470873e-09,True,True,4,125,VH,CONTROL,,,,,
all6,1_VH_1_CONTROL,1_VH_1_CONTROL__hybrid_pre_03,ok,12.418704968910488,7252.772118230967,False,False,False,False,0.0,1.0000000000000002,1.0000000000000002,0.0,7.5836776256663825,-0.018206304249574146,-1.1508661604037117e-05,658953.9154584325,-1.951255047235775e-09,0.01820631499381875,-1.2697596321648208e-09,5972530102.202828,-2.682506584447298e-10,True,True,5,150,VH,CONTROL,,,,,
all6,1_VH_1_CONTROL,1_VH_1_CONTROL__hybrid_pre_03,ok,14.064954987921045,9114.951992831287,False,False,False,False,0.0,1.0000000000000002,1.0000000000000002,0.0,8.119450449378363,-0.0182063107134951,-8.24339486819018e-06,984964.396247704,-7.355139599275939e-10,0.01820632135225253,-7.355123772015931e-10,11039175819.542927,-5.625036237116695e-10,True,True,6,175,VH,CONTROL,,,,,
all6,1_VH_1_CONTROL,1_VH_1_CONTROL__hybrid_pre_04,ok,4.650637680478551,1289.6371278468976,False,False,True,False,0.28571428571428575,0.7142857142857143,0.7142857142857143,0.0,3.5768570839153,-0.006900628246711449,-1.1858079347376763e-05,301638.8218642313,-2.081375599878273e-07,0.006901918583551492,-1.1507752086873447e-07,31082152.76896098,-5.219337099569783e-08,True,True,1,50,VH,CONTROL,,,,,
all6,1_VH_1_CONTROL,1_VH_1_CONTROL__hybrid_pre_04,ok,7.118168482437118,2646.6969393879313,False,False,False,False,0.1434254168586413,0.8565745831413588,0.8565745831413588,0.0,5.33031355939994,-0.006901995261387128,5.4859953251910055e-06,971621.9652838211,-2.957500601344866e-08,0.006902151301474646,-1.5711062483705325e-08,339271361.49628687,-5.199438387863561e-09,True,True,2,75,VH,CONTROL,,,,,
all6,1_VH_1_CONTROL,1_VH_1_CONTROL__hybrid_pre_04,ok,9.622098256750508,4536.203828571796,False,False,True,False,0.28571428571428575,0.7142857142857143,0.7142857142857143,0.0,7.289562342194614,-0.006902193146288482,8.765012297195817e-06,831665.9572202491,-4.002456199627521e-09,0.006902213268304536,-1.943752340175513e-09,3750252638.42841,-6.830986889122872e-10,True,True,3,100,VH,CONTROL,,,,,
all6,1_VH_1_CONTROL,1_VH_1_CONTROL__hybrid_pre_04,ok,12.589397445065668,7410.595761224996,False,False,True,False,0.28571428571428575,0.7142857142857143,0.7142857142857143,0.0,9.77049755680791,-0.006902218254225545,6.237691268434067e-06,1566364.4025236813,-6.630664364278567e-11,0.0069022194412440285,-6.613562388963583e-11,147734261539.77893,-6.613496342825602e-11,True,True,4,125,VH,CONTROL,,,,,
all6,1_VH_1_CONTROL,1_VH_1_CONTROL__hybrid_pre_04,ok,14.506585885901572,9649.96148049705,False,False,False,False,0.0,1.0000000000000002,1.0000000000000002,0.0,10.862786056179559,-0.006902220513609336,4.881437702149858e-06,2225325.1437369417,-9.882101560413039e-11,0.00690222089873771,-2.6547677894197743e-11,409180271791.44464,-2.0800543773305207e-11,True,True,5,150,VH,CONTROL,,,,,
all6,1_VH_1_CONTROL,1_VH_1_CONTROL__hybrid_pre_04,ok,16.232773876176523,11896.701492634424,False,False,False,False,0.0,1.0000000000000002,1.0000000000000002,0.0,11.573414568923198,-0.006902220630507827,4.0928522240572075e-06,2827713.7642293316,-1.1122629410346046e-11,0.006902220830141914,-1.1124212656372549e-11,1040380557836.003,-1.1123081724473563e-11,True,True,6,175,VH,CONTROL,,,,,
all6,1_VH_1_CONTROL,1_VH_1_CONTROL__hybrid_pre_05,ok,4.791508673891373,1353.7235181874557,False,False,True,False,0.28571428571428575,0.7142857142857143,0.7142857142857143,0.0,3.7807043923132113,-0.0019426569378424574,-3.938741339881229e-07,9598762.818040794,-1.1658650246047262e-10,0.001942657210676657,-1.520177171572935e-11,248701563410.6186,-1.520064034458578e-11,True,True,1,50,VH,CONTROL,,,,,
all6,1_VH_1_CONTROL,1_VH_1_CONTROL__hybrid_pre_05,ok,7.31801142946107,2776.457802956546,False,False,False,False,0.1415683688111625,0.8584316311888376,0.8584316311888376,0.0,5.622604619423029,-0.0019426574995975443,9.930175332020531e-08,56621403.26256431,6.785373598817418e-13,0.0019426575032923665,-2.0585711326454634e-13,,-2.0585727863626114e-13,True,True,2,75,VH,CONTROL,,,,,
all6,1_VH_1_CONTROL,1_VH_1_CONTROL__hybrid_pre_05,ok,9.885810816680653,4760.104987574023,False,False,True,False,0.28571428571428575,0.7142857142857143,0.7142857142857143,0.0,7.6762881629702235,-0.001942657512543633,8.457581338726391e-08,90762215.05338995,4.513022163208052e-14,0.0019426575126715306,-7.917754254256775e-15,,-6.503717497743194e-15,True,True,3,100,VH,CONTROL,,,,,
all6,1_VH_1_CONTROL,1_VH_1_CONTROL__hybrid_pre_05,ok,12.936333530273842,7787.536883059411,False,False,True,False,0.28571428571428575,0.7142857142857143,0.7142857142857143,0.0,10.27203118500745,-0.0019426574696836951,2.469666533147123e-08,415927860.9941597,-2.5542143160695343e-11,0.00194265751282785,-2.771158127686554e-13,,-2.2951578513179307e-13,True,True,4,125,VH,CONTROL,,,,,
all6,1_VH_1_CONTROL,1_VH_1_CONTROL__hybrid_pre_05,ok,14.878712579215318,10111.997505335617,False,False,False,False,0.0,1.0000000000000002,1.0000000000000002,0.0,11.413487739168929,-0.0019426575159116055,1.795668394924423e-08,635612219.4626757,1.722867439130202e-11,0.0019426575151584302,4.117146997312909e-13,,3.544070370901185e-14,True,True,5,150,VH,CONTROL,,,,,
all6,1_VH_1_CONTROL,1_VH_1_CONTROL__hybrid_pre_05,ok,16.620402953674517,12431.95808105186,False,False,False,False,0.0,1.0000000000000002,1.0000000000000002,0.0,12.155698692772162,-0.0019426590388462728,1.0778133730596753e-08,1127811084.6096487,-3.294354517680464e-09,0.001942661973430404,3.583105039973103e-10,33925041429.607132,-2.5581514257980894e-10,True,True,6,175,VH,CONTROL,,,,,
all6,1_VH_1_CONTROL,1_VH_1_CONTROL__hybrid_pre_06,ok,4.626451478378015,1278.3679225167182,False,False,True,False,0.28571428571428575,0.7142857142857143,0.7142857142857143,0.0,3.546754197822409,-0.0023769371913573423,-1.1610270536490603e-07,30548419.92419648,-2.0680743509268544e-12,0.002376937228461884,-2.0664907048955703e-12,1716317518109.3513,-2.0671505425344188e-12,True,True,1,50,VH,CONTROL,,,,,
all6,1_VH_1_CONTROL,1_VH_1_CONTROL__hybrid_pre_06,ok,7.083604147213658,2624.100237079816,False,False,False,False,0.14173098184927665,0.8582690181507234,0.8582690181507234,0.0,5.284003561916819,-0.002376937248584454,2.539021330399871e-08,208111822.4038173,-4.660293138231377e-12,0.002376937249110256,-8.709381594026257e-14,,-2.6391200436077695e-15,True,True,2,75,VH,CONTROL,,,,,
all6,1_VH_1_CONTROL,1_VH_1_CONTROL__hybrid_pre_06,ok,9.574087131669119,4495.5817094003,False,False,True,False,0.28571428571428575,0.7142857142857143,0.7142857142857143,0.0,7.222886500039252,-0.002376937249081834,1.35336749693818e-08,533697352.44714415,-2.375240054824039e-15,0.0023769372491244667,-7.917844081909395e-15,,-2.5449160213752227e-15,True,True,3,100,VH,CONTROL,,,,,
all6,1_VH_1_CONTROL,1_VH_1_CONTROL__hybrid_pre_06,ok,12.519962545833174,7335.929137449656,False,False,True,False,0.28571428571428575,0.7142857142857143,0.7142857142857143,0.0,9.673554111066366,-0.0023769372510855646,-2.1353430641942364e-09,4530210753.14502,1.332530312524335e-12,0.0023769372491670993,5.751319304596015e-20,,2.1679296147987807e-15,True,True,4,125,VH,CONTROL,,,,,
all6,1_VH_1_CONTROL,1_VH_1_CONTROL__hybrid_pre_06,ok,14.42869558501979,9554.266934833022,False,False,False,False,0.0,1.0000000000000002,1.0000000000000002,0.0,10.750788356312896,-0.002376937248996569,4.3463204540670635e-08,247353789.71545598,-9.738634789804316e-14,0.0023769372491244667,-2.692261390786875e-20,,4.1340381468705957e-20,True,True,5,150,VH,CONTROL,,,,,
all6,1_VH_1_CONTROL,1_VH_1_CONTROL__hybrid_pre_06,ok,16.14917426359578,11782.447532843473,False,False,False,False,0.0,1.0000000000000002,1.0000000000000002,0.0,11.451053084083938,-0.0023769372491386775,5.704924590501782e-10,20072225149.38931,4.0301079709049813e-20,0.0023769372491386775,-2.216595345666791e-19,,8.128975698282677e-20,True,True,6,175,VH,CONTROL,,,,,
all6,1_VH_1_CONTROL,1_VH_1_CONTROL__hybrid_pre_07,ok,3.5208201415329343,828.8867033250547,False,False,True,False,0.28571428571428575,0.7142857142857143,0.7142857142857143,0.0,1.718134141401947,-0.07645790185280532,-0.0003766262517570763,4561.907549955234,-6.858836224502555e-07,0.07646172651651284,-3.6385219112063546e-07,4722066.221754038,-1.4723364406607737e-07,True,True,1,50,VH,CONTROL,,,,,
all6,1_VH_1_CONTROL,1_VH_1_CONTROL__hybrid_pre_07,ok,5.493020074660226,1700.8541222896479,False,False,False,False,0.16947177995851534,0.8305282200414849,0.8305282200414849,0.0,2.6494569689614167,-0.07646211201061703,-0.00015469990404060958,17126.42929801637,-5.565264419162092e-08,0.07646242812597848,-2.6304139822972645e-08,100723953.97805485,-1.2835165378425239e-08,True,True,2,75,VH,CONTROL,,,,,
all6,1_VH_1_CONTROL,1_VH_1_CONTROL__hybrid_pre_07,ok,7.461119151902832,2901.381961964564,False,False,True,False,0.28571428571428575,0.7142857142857143,0.7142857142857143,0.0,3.7306048275934955,-0.07646244318188167,-5.294555167007979e-05,70461.15697953352,-2.798481443990251e-09,0.07646247286469077,-2.7984798531179874e-09,1333082610.3453848,-1.0447523933608431e-09,True,True,3,100,VH,CONTROL,,,,,
all6,1_VH_1_CONTROL,1_VH_1_CONTROL__hybrid_pre_07,ok,9.717280189671648,4650.149822942719,False,False,True,False,0.28571428571428575,0.7142857142857143,0.7142857142857143,0.0,5.1564762554250905,-0.0764624776982572,-1.2612427613188352e-05,408840.8999099549,-9.513379307320163e-11,0.07646247822928842,-5.3641669745266276e-11,96128183181.3249,-1.8386149058360986e-11,True,True,4,125,VH,CONTROL,,,,,
all6,1_VH_1_CONTROL,1_VH_1_CONTROL__hybrid_pre_07,ok,11.439687106950437,6252.412354072694,False,False,False,False,0.0,1.0000000000000002,1.0000000000000002,0.0,5.803486097855554,-0.07646247822461305,-6.558392666630847e-06,884894.5759810535,-1.0783756571812524e-11,0.07646247828370178,-7.553379163142299e-12,768329773007.348,-1.0365423744393681e-12,True,True,5,150,VH,CONTROL,,,,,
all6,1_VH_1_CONTROL,1_VH_1_CONTROL__hybrid_pre_07,ok,13.035905840853026,7931.4017357675675,False,False,False,False,0.0,1.0000000000000002,1.0000000000000002,0.0,6.230577058562616,-0.07646247824712304,-4.256002311628261e-06,1463950.5814034492,-4.9667035296860075e-12,0.07646247831335984,-4.964326639733769e-12,1255069924024.3293,-3.297768996525382e-12,True,True,6,175,VH,CONTROL,,,,,
