file_id,region,condition,n_candidates,n_accepted_candidates,best_candidate_id,best_trace_rmse_mV,best_weighted_pass_fraction,holdout_pass_count,holdout_mean_rmse_mV,holdout_mean_pass_fraction,cell_reviewer_facing
1_VH_1_CONTROL,VH,CONTROL,313,0,1_VH_1_CONTROL__hybrid_optuna_264,16.341219430244237,0.28571428571428575,0,16.339746048637835,0.28571428571428575,False
1_VH_2_CONTROL,VH,CONTROL,313,3,1_VH_2_CONTROL__hybrid_optuna_001,7.106551484734529,0.37002950188636036,0,7.014399354905211,0.28571428571428575,False
2_VH_1_CONTROL,VH,CONTROL,313,0,2_VH_1_CONTROL__hybrid_optuna_001,6.483402742261237,0.28571428571428575,0,6.432198928436022,0.28571428571428575,False
3_VH_1_CONTROL,VH,CONTROL,313,0,3_VH_1_CONTROL__hybrid_optuna_003,6.069284965331188,0.28571428571428575,0,6.06017568359925,0.28571428571428575,False
VH_1_MFA,VH,MFA,313,2,VH_1_MFA__hybrid_optuna_286,5.402458464176738,0.3187724787549762,5,5.324644203277079,0.3276902138441131,True
VH_2_MFA,VH,MFA,313,3,VH_2_MFA__hybrid_optuna_247,5.6072346612343305,0.3497440689005848,5,5.12257282590481,0.3321493553625046,True
VH_3_MFA,VH,MFA,313,3,VH_3_MFA__hybrid_optuna_210,7.389195056913349,0.35849214923364664,5,6.9702218706698025,0.346833542689512,True
VH_4_MFA,VH,MFA,313,3,VH_4_MFA__hybrid_optuna_279,5.171581437143092,0.32872827499736346,4,5.047342707603293,0.32117248554717376,True
VH_5_MFA,VH,MFA,313,3,VH_5_MFA__hybrid_optuna_289,4.232572935369996,0.3084043599517155,3,4.232571365175923,0.3084043478733709,True
VH_6_MFA,VH,MFA,313,0,VH_6_MFA__hybrid_optuna_282,3.3352984361825775,0.29753026681455536,2,3.2988685578056525,0.296770757823587,False
VH_7_OG_MFA,VH,MFA,313,3,VH_7_OG_MFA__hybrid_optuna_287,6.46843415738331,0.3904517319792778,6,6.463470133576611,0.3906704547285283,True
