file_id,region,condition,fit_scope,heldout_sweep,train_sweeps,candidate_id,optimizer_status,optimizer_success,optimizer_cost,optimizer_nfev,heldout_trace_rmse_mV,heldout_weighted_pass_fraction,simulation_health,heldout_pass
1_VH_1_CONTROL,VH,CONTROL,leave_one_out,1,"2,3,4,5,6",1_VH_1_CONTROL__hybrid_optuna_264,3,True,26334610002.97113,9,7.996116842298971,0.28571428571428575,ok,False
1_VH_1_CONTROL,VH,CONTROL,leave_one_out,2,"1,3,4,5,6",1_VH_1_CONTROL__hybrid_optuna_264,3,True,27964552960.094387,9,11.525260589217485,0.28571428571428575,ok,False
1_VH_1_CONTROL,VH,CONTROL,leave_one_out,3,"1,2,4,5,6",1_VH_1_CONTROL__hybrid_optuna_264,3,True,27237214639.728718,9,15.024835803591976,0.28571428571428575,ok,False
1_VH_1_CONTROL,VH,CONTROL,leave_one_out,4,"1,2,3,5,6",1_VH_1_CONTROL__hybrid_optuna_264,3,True,19426201822.17476,9,19.07632279601571,0.28571428571428575,ok,False
1_VH_1_CONTROL,VH,CONTROL,leave_one_out,5,"1,2,3,4,6",1_VH_1_CONTROL__hybrid_optuna_264,3,True,26406754206.20642,9,21.2729201330678,0.28571428571428575,ok,False
1_VH_1_CONTROL,VH,CONTROL,leave_one_out,6,"1,2,3,4,5",1_VH_1_CONTROL__hybrid_optuna_264,3,True,9844723287.531794,11,23.143020127635076,0.28571428571428575,ok,False
1_VH_2_CONTROL,VH,CONTROL,leave_one_out,1,"2,3,4,5,6",1_VH_2_CONTROL__hybrid_optuna_001,3,True,3350479.5889626215,12,3.2068468031274313,0.28571428571428575,ok,False
1_VH_2_CONTROL,VH,CONTROL,leave_one_out,2,"1,3,4,5,6",1_VH_2_CONTROL__hybrid_optuna_001,3,True,3214811.5886077634,12,4.788408768822256,0.28571428571428575,ok,False
1_VH_2_CONTROL,VH,CONTROL,leave_one_out,3,"1,2,4,5,6",1_VH_2_CONTROL__hybrid_optuna_001,3,True,2837336.745969397,13,6.526325647337128,0.28571428571428575,ok,False
1_VH_2_CONTROL,VH,CONTROL,leave_one_out,4,"1,2,3,5,6",1_VH_2_CONTROL__hybrid_optuna_001,3,True,2297479.7070931643,12,7.893109628156639,0.28571428571428575,ok,False
1_VH_2_CONTROL,VH,CONTROL,leave_one_out,5,"1,2,3,4,6",1_VH_2_CONTROL__hybrid_optuna_001,3,True,1931760.609004279,14,9.159641958093362,0.28571428571428575,ok,False
1_VH_2_CONTROL,VH,CONTROL,leave_one_out,6,"1,2,3,4,5",1_VH_2_CONTROL__hybrid_optuna_001,3,True,1567916.0786068104,13,10.51206332389445,0.28571428571428575,ok,False
2_VH_1_CONTROL,VH,CONTROL,leave_one_out,1,"2,3,4,5,6",2_VH_1_CONTROL__hybrid_optuna_001,3,True,5026094.805054622,10,3.1888394210004845,0.28571428571428575,ok,False
2_VH_1_CONTROL,VH,CONTROL,leave_one_out,2,"1,3,4,5,6",2_VH_1_CONTROL__hybrid_optuna_001,3,True,3266960.216105316,14,4.69243369863976,0.28571428571428575,ok,False
2_VH_1_CONTROL,VH,CONTROL,leave_one_out,3,"1,2,4,5,6",2_VH_1_CONTROL__hybrid_optuna_001,3,True,4633929.2533140825,10,6.010018107802184,0.28571428571428575,ok,False
2_VH_1_CONTROL,VH,CONTROL,leave_one_out,4,"1,2,3,5,6",2_VH_1_CONTROL__hybrid_optuna_001,3,True,2670882.889845863,14,7.110713413301792,0.28571428571428575,ok,False
2_VH_1_CONTROL,VH,CONTROL,leave_one_out,5,"1,2,3,4,6",2_VH_1_CONTROL__hybrid_optuna_001,3,True,4775182.639331035,10,7.989440507482442,0.28571428571428575,ok,False
2_VH_1_CONTROL,VH,CONTROL,leave_one_out,6,"1,2,3,4,5",2_VH_1_CONTROL__hybrid_optuna_001,3,True,3645564.850217138,13,9.601748422389468,0.28571428571428575,ok,False
3_VH_1_CONTROL,VH,CONTROL,leave_one_out,1,"2,3,4,5,6",3_VH_1_CONTROL__hybrid_optuna_003,3,True,7214931.260680037,10,3.2589642506324816,0.28571428571428575,ok,False
3_VH_1_CONTROL,VH,CONTROL,leave_one_out,2,"1,3,4,5,6",3_VH_1_CONTROL__hybrid_optuna_003,3,True,6430670.325272756,15,4.345835182692604,0.28571428571428575,ok,False
3_VH_1_CONTROL,VH,CONTROL,leave_one_out,3,"1,2,4,5,6",3_VH_1_CONTROL__hybrid_optuna_003,3,True,6661106.285028646,10,5.614778694037178,0.28571428571428575,ok,False
3_VH_1_CONTROL,VH,CONTROL,leave_one_out,4,"1,2,3,5,6",3_VH_1_CONTROL__hybrid_optuna_003,3,True,5028313.057095715,10,6.843877695620555,0.28571428571428575,ok,False
3_VH_1_CONTROL,VH,CONTROL,leave_one_out,5,"1,2,3,4,6",3_VH_1_CONTROL__hybrid_optuna_003,3,True,6961848.430550497,10,7.556113760763629,0.28571428571428575,ok,False
3_VH_1_CONTROL,VH,CONTROL,leave_one_out,6,"1,2,3,4,5",3_VH_1_CONTROL__hybrid_optuna_003,3,True,5365409.566401865,10,8.741484517849052,0.28571428571428575,ok,False
VH_1_MFA,VH,MFA,leave_one_out,1,"2,3,4,5,6",VH_1_MFA__hybrid_optuna_286,3,True,81821.28404786234,16,2.2962823477797523,0.26179688656096417,ok,False
VH_1_MFA,VH,MFA,leave_one_out,2,"1,3,4,5,6",VH_1_MFA__hybrid_optuna_286,3,True,137963.98223450338,10,3.624221401938625,0.30432135732070514,ok,True
