strategy,file_id,selection_note,candidate_id,mean_trace_rmse_mV,mean_weighted_pass_fraction,accepted_all6
least_squares_12starts,1_DH_1_CONTROL,accepted,1_DH_1_CONTROL__cand_03,2.657759295394304,0.6605061946925921,True
nsga2_trace_feature_adaptive500,1_DH_1_CONTROL,accepted,1_DH_1_CONTROL__cand_07,2.6500404692332338,0.6606475693412045,True
least_squares_12starts,2_VH_1_CONTROL,best_nonaccepted,2_VH_1_CONTROL__cand_05,2.7825332274888184,0.4338302889820047,False
nsga2_trace_feature_adaptive500,2_VH_1_CONTROL,best_nonaccepted,2_VH_1_CONTROL__cand_05,2.78329487566875,0.4334436135953652,False
least_squares_12starts,3_DH_1_CONTROL,accepted,3_DH_1_CONTROL__cand_12,3.586704556945502,0.6769829255926313,True
nsga2_trace_feature_adaptive500,3_DH_1_CONTROL,accepted,3_DH_1_CONTROL__cand_07,3.2796206921362105,0.6762241439543047,True
least_squares_12starts,DH_1_MFA,best_nonaccepted,DH_1_MFA__cand_01,5.524010510686927,1.0,False
nsga2_trace_feature_adaptive500,DH_1_MFA,best_nonaccepted,DH_1_MFA__cand_20,5.2060319742843655,1.0,False
least_squares_12starts,DH_1_MFA_BA,best_nonaccepted,DH_1_MFA_BA__cand_07,4.215514068123485,0.987699179582302,False
nsga2_trace_feature_adaptive500,DH_1_MFA_BA,accepted,DH_1_MFA_BA__cand_13,3.9810107727747153,0.9997961349279416,True
least_squares_12starts,VH_1_MFA,accepted,VH_1_MFA__cand_08,2.3874002950286197,0.8386291390641561,True
nsga2_trace_feature_adaptive500,VH_1_MFA,accepted,VH_1_MFA__cand_17,2.301279856591968,0.857923278616028,True
least_squares_12starts,VH_4_MFA_BA,accepted,VH_4_MFA_BA__cand_07,1.824929050724512,0.9726208874739432,True
nsga2_trace_feature_adaptive500,VH_4_MFA_BA,accepted,VH_4_MFA_BA__cand_11,1.4771915829348918,0.9859185863670396,True
