strategy,file_id,candidate_id,sweep,current_na,stim_onset_s,stim_offset_s,obs_baseline_mV,pred_baseline_mV,baseline_delta_pred_minus_obs_mV,raw_rmse_mV,centered_rmse_mV,baseline_aligned_rmse_mV,raw_minus_centered_rmse_mV,obs_stim_end_centered_mV,pred_stim_end_centered_mV,stim_end_delta_pred_minus_obs_mV,obs_peak_centered_mV,pred_peak_centered_mV,peak_delta_pred_minus_obs_mV
least_squares_12starts,1_DH_1_CONTROL,1_DH_1_CONTROL__cand_03,1,50,11.166,31.116,-60.37370869565221,-85.77469304105895,-25.40098434540674,23.84306506282374,3.4527074995557765,3.4527074995557765,20.390357563267962,6.815408695652209,13.712427604744434,6.897018909092225,7.182869565217295,13.715846185522437,6.532976620305142
least_squares_12starts,1_DH_1_CONTROL,1_DH_1_CONTROL__cand_03,2,75,11.166,31.116,-60.50376521739136,-85.77469304105895,-25.27092782366759,24.155602482117022,1.972780319135308,1.972780319135308,22.182822162981715,9.991860869565144,13.712427604744434,3.7205667351792897,10.486791304347754,13.715846185522437,3.229054881174683
least_squares_12starts,1_DH_1_CONTROL,1_DH_1_CONTROL__cand_03,3,100,11.166,31.116,-60.888517391304376,-85.77469304105895,-24.886175649754577,24.5056425803043,1.0579291244304367,1.0579291244304367,23.447713455873863,13.189517391304378,13.712427604744434,0.5229102134400563,13.871526086956507,13.715846185522437,-0.15567990143406973
least_squares_12starts,1_DH_1_CONTROL,1_DH_1_CONTROL__cand_03,4,125,11.166,31.116,-61.23946739130437,-85.77469304105895,-24.53522564975458,24.761650060161404,1.847758656414598,1.847758656414598,22.913891403746806,16.12385869565194,13.712427604744434,-2.411431090907506,16.845650000000113,13.715846185522437,-3.1298038144776754
least_squares_12starts,1_DH_1_CONTROL,1_DH_1_CONTROL__cand_03,5,150,11.166,31.116,-61.975895652173946,-85.77469304105895,-23.798797388885006,25.074839472644808,3.1971632858531347,3.1971632858531347,21.877676186791675,19.56710434782638,13.712427604744434,-5.854676743081946,19.829769565217553,13.715846185522437,-6.113923379695116
least_squares_12starts,1_DH_1_CONTROL,1_DH_1_CONTROL__cand_03,6,175,11.166,31.116,-62.1643,-85.77469304105895,-23.610393041058956,25.72839238939578,4.418216881651886,4.418216881651886,21.310175507743892,22.135826086956783,13.712427604744434,-8.423398482212349,22.48085652173917,13.715846185522437,-8.765010336216733
least_squares_12starts,2_VH_1_CONTROL,2_VH_1_CONTROL__cand_05,1,50,21.117,41.075,-57.556691304347794,-85.84691718042664,-28.29022587607885,27.05442319540699,3.4779175093088153,3.4779175093088153,23.576505686098173,6.986969565217386,13.620751695841534,6.633782130624148,7.269708695652184,13.620751695841534,6.35104300018935
least_squares_12starts,2_VH_1_CONTROL,2_VH_1_CONTROL__cand_05,2,75,21.117,41.075,-56.99077391304348,-85.84691718042664,-28.85614326738316,28.281325207000805,1.3743368153666733,1.3743368153666733,26.90698839163413,11.939382608695446,13.620751695841534,1.6813690871460878,11.939382608695446,13.620751695841534,1.6813690871460878
least_squares_12starts,2_VH_1_CONTROL,2_VH_1_CONTROL__cand_05,3,100,21.117,41.075,-56.501026086956514,-85.84691718042664,-29.34589109347013,29.637225682774496,0.805190358877737,0.805190358877737,28.832035323896758,14.386643478260602,13.620751695841534,-0.7658917824190681,14.910213043478308,13.620751695841534,-1.2894613476367738
least_squares_12starts,2_VH_1_CONTROL,2_VH_1_CONTROL__cand_05,4,125,21.117,41.075,-56.0038913043478,-85.84691718042664,-29.84302587607884,31.10354304420932,2.3970897457140103,2.3970897457140103,28.706453298495312,17.51446086956539,13.620751695841534,-3.893709173723856,18.666834782608667,13.620751695841534,-5.046083086767133
