strategy,file_id,candidate_id,sweep,z0_mode,health,obs_baseline_mV,pred_baseline_mV,baseline_delta_mV,raw_rmse_mV,centered_rmse_mV,stim_end_delta_mV
least_squares_12starts,1_DH_1_CONTROL,1_DH_1_CONTROL__cand_03,1,default_z0,ok,-60.37370869565221,-85.77469304105895,-25.40098434540674,23.84306506282374,3.4527074995557765,6.897018909092225
least_squares_12starts,1_DH_1_CONTROL,1_DH_1_CONTROL__cand_03,1,observed_vm_z0,ok,-60.37370869565221,-85.76955273692761,-25.395844041275396,23.111398848272362,6.178461822901464,6.891823928816123
least_squares_12starts,1_DH_1_CONTROL,1_DH_1_CONTROL__cand_03,2,default_z0,ok,-60.50376521739136,-85.77469304105895,-25.27092782366759,24.155602482117022,1.972780319135308,3.7205667351792897
least_squares_12starts,1_DH_1_CONTROL,1_DH_1_CONTROL__cand_03,2,observed_vm_z0,ok,-60.50376521739136,-85.76957598338527,-25.265810765993905,23.444544477105786,5.483989222684553,3.7153953408120373
least_squares_12starts,1_DH_1_CONTROL,1_DH_1_CONTROL__cand_03,3,default_z0,ok,-60.888517391304376,-85.77469304105895,-24.886175649754577,24.5056425803043,1.0579291244304367,0.5229102134400563
least_squares_12starts,1_DH_1_CONTROL,1_DH_1_CONTROL__cand_03,3,observed_vm_z0,ok,-60.888517391304376,-85.76964476677223,-24.881127375467855,23.826185431876834,5.157906283025098,0.5178083322692828
least_squares_12starts,1_DH_1_CONTROL,1_DH_1_CONTROL__cand_03,4,default_z0,ok,-61.23946739130437,-85.77469304105895,-24.53522564975458,24.761650060161404,1.847758656414598,-2.411431090907506
least_squares_12starts,1_DH_1_CONTROL,1_DH_1_CONTROL__cand_03,4,observed_vm_z0,ok,-61.23946739130437,-85.76970751606888,-24.530240124764504,24.101214776727495,5.285145930966725,-2.416469554511643
least_squares_12starts,1_DH_1_CONTROL,1_DH_1_CONTROL__cand_03,5,default_z0,ok,-61.975895652173946,-85.77469304105895,-23.798797388885006,25.074839472644808,3.1971632858531347,-5.854676743081946
least_squares_12starts,1_DH_1_CONTROL,1_DH_1_CONTROL__cand_03,5,observed_vm_z0,ok,-61.975895652173946,-85.7698392256222,-23.79394357344826,24.458586250506027,5.773155561270728,-5.859582097440274
least_squares_12starts,1_DH_1_CONTROL,1_DH_1_CONTROL__cand_03,6,default_z0,ok,-62.1643,-85.77469304105895,-23.610393041058956,25.72839238939578,4.418216881651886,-8.423398482212349
least_squares_12starts,1_DH_1_CONTROL,1_DH_1_CONTROL__cand_03,6,observed_vm_z0,ok,-62.1643,-85.76987293157507,-23.605572931575068,25.1390712574119,6.510552988083869,-8.428269771126523
nsga2_trace_feature_adaptive500,1_DH_1_CONTROL,1_DH_1_CONTROL__cand_07,1,default_z0,ok,-60.37370869565221,-85.76788153281686,-25.394172837164646,23.857505007257682,3.4539350033172718,6.889611544356342
nsga2_trace_feature_adaptive500,1_DH_1_CONTROL,1_DH_1_CONTROL__cand_07,1,observed_vm_z0,ok,-60.37370869565221,-85.76611374008056,-25.392405044428344,23.125481619226246,6.179853552485566,6.889605504872435
nsga2_trace_feature_adaptive500,1_DH_1_CONTROL,1_DH_1_CONTROL__cand_07,2,default_z0,ok,-60.50376521739136,-85.76788153281686,-25.264116315425497,24.169076001628888,1.9682160584150499,3.7131593704434067
nsga2_trace_feature_adaptive500,1_DH_1_CONTROL,1_DH_1_CONTROL__cand_07,2,observed_vm_z0,ok,-60.50376521739136,-85.76612175585977,-25.26235653846841,23.457606008265568,5.482672185389234,3.713153356538612
nsga2_trace_feature_adaptive500,1_DH_1_CONTROL,1_DH_1_CONTROL__cand_07,3,default_z0,ok,-60.888517391304376,-85.76788153281686,-24.879364141512482,24.518231051312565,1.0429111549480847,0.5155028487041733
nsga2_trace_feature_adaptive500,1_DH_1_CONTROL,1_DH_1_CONTROL__cand_07,3,observed_vm_z0,ok,-60.888517391304376,-85.76614547066268,-24.877628079358303,23.83830767015446,5.154488515103674,0.5154969173190409
nsga2_trace_feature_adaptive500,1_DH_1_CONTROL,1_DH_1_CONTROL__cand_07,4,default_z0,ok,-61.23946739130437,-85.76788153281686,-24.528414141512485,24.773359470251677,1.8336378236196313,-2.418838455643389
nsga2_trace_feature_adaptive500,1_DH_1_CONTROL,1_DH_1_CONTROL__cand_07,4,observed_vm_z0,ok,-61.23946739130437,-85.76616710313773,-24.52669971183336,24.1124254648224,5.279407374058756,-2.418844313123465
nsga2_trace_feature_adaptive500,1_DH_1_CONTROL,1_DH_1_CONTROL__cand_07,5,default_z0,ok,-61.975895652173946,-85.76788153281686,-23.791985880642912,25.085826432379086,3.189478057784361,-5.862084107817829
nsga2_trace_feature_adaptive500,1_DH_1_CONTROL,1_DH_1_CONTROL__cand_07,5,observed_vm_z0,ok,-61.975895652173946,-85.76621250325864,-23.790316851084697,24.46903771713033,5.76742704503129,-5.862089811629765
nsga2_trace_feature_adaptive500,1_DH_1_CONTROL,1_DH_1_CONTROL__cand_07,6,default_z0,ok,-62.1643,-85.76788153281686,-23.60358153281686,25.73871756875194,4.412064715702915,-8.430805846948232
nsga2_trace_feature_adaptive500,1_DH_1_CONTROL,1_DH_1_CONTROL__cand_07,6,observed_vm_z0,ok,-62.1643,-85.76622411912412,-23.60192411912412,25.148822311376595,6.50458981652083,-8.43081150959533
least_squares_12starts,2_VH_1_CONTROL,2_VH_1_CONTROL__cand_05,1,default_z0,ok,-57.556691304347794,-85.84691718042664,-28.29022587607885,27.05442319540699,3.4779175093088153,6.633782130624148
least_squares_12starts,2_VH_1_CONTROL,2_VH_1_CONTROL__cand_05,1,observed_vm_z0,ok,-57.556691304347794,-85.84665388339725,-28.289962579049458,26.290803506628603,6.746398479293584,6.633467209616732
