candidate_policy,candidates_per_cell,file_id,region,condition,candidate_id,mechanism_cluster,buffering_phenotype,mean_trace_rmse_mV,mean_weighted_pass_fraction,holdout_mean_rmse_mV,holdout_mean_pass_fraction,ensemble_rank,P_gap_eff,gamma_t_eff,gamma_s_eff,volume_ratio_wa_wo,dKs_activation_score_mean,long_range_distribution_fraction_mean,voltage_coupling_score_mean,kir_current_score_mean,step06_selection_rank,step06_selection_min_mechanism_score_distance,step06_selection_stable_phenotype_novel
best_per_cell,1,1_DH_1_CONTROL,DH,CONTROL,1_DH_1_CONTROL__hybrid_optuna_087,M1,mixed_local_spatial_buffering,7.598614341672754,0.3592140714053211,7.581328705455518,0.3596089913772268,1,1.1996661220636652e-08,0.0009639219104777,1.3822108483323732e-06,0.2273680004427412,0.4696968163561277,3.3198915743536735e-05,0.0248241470887973,0.4752922991093256,,,
best_per_cell,1,1_DH_2_CONTROL,DH,CONTROL,1_DH_2_CONTROL__hybrid_optuna_098,M1,mixed_local_spatial_buffering,13.977227693028652,0.3592629870825042,13.982361406690702,0.3593400005006864,1,1.1996661220636652e-08,0.0009639219104777,5.117854716429417e-07,0.255012047149372,0.4742352083058401,1.230573233368412e-05,0.0247631908628131,0.4760309130560966,,,
best_per_cell,1,1_VH_1_CONTROL,VH,CONTROL,1_VH_1_CONTROL__hybrid_optuna_004,M2,kir_dominant_local_buffering,6.460123378392464,0.3090362481637552,6.452548930367247,0.3093203980865881,1,1.9320979798396146e-07,6.884733072151251e-05,0.0446888001496297,1.918939695528853,9.85967654371955e-305,1.0655056870849664e-303,0.0328809123703741,0.9659494002427564,,,
best_per_cell,1,1_VH_2_CONTROL,VH,CONTROL,1_VH_2_CONTROL__hybrid_optuna_001,M2,mixed_local_spatial_buffering,6.896416818472869,0.3864626980064761,6.896416818472869,0.3864626980064761,2,2.428889058492891e-06,5.419739585354233e-06,0.0013623132320298,1.3179978430534545,0.3897766225674245,0.2617704120719824,0.2631347793761145,0.7368360177203286,,,
best_per_cell,1,2_DH_1_CONTROL,DH,CONTROL,2_DH_1_CONTROL__hybrid_optuna_096,M1,mixed_local_spatial_buffering,12.448600024573151,0.3592629849136366,12.449729895697262,0.3592784978311763,1,1.1996661220636652e-08,0.0009639219104777,5.117854716429417e-07,0.255012047149372,0.4742352082186666,1.230573253574145e-05,0.0247631905675365,0.4760309211447489,,,
best_per_cell,1,3_DH_1_CONTROL,DH,CONTROL,3_DH_1_CONTROL__hybrid_optuna_097,M1,mixed_local_spatial_buffering,15.033451490435638,0.3592629849136366,15.03473662999395,0.3592932305184015,1,1.1996661220636652e-08,0.0009639219104777,5.117854716429417e-07,0.255012047149372,0.4742352082186666,1.230573253574145e-05,0.0247631905675365,0.4760309211447489,,,
best_per_cell,1,3_DH_2_CONTROL,DH,CONTROL,3_DH_2_CONTROL__hybrid_optuna_098,M1,mixed_local_spatial_buffering,14.757077556565273,0.3592629849136366,14.75816737558676,0.3592785028336003,1,1.1996661220636652e-08,0.0009639219104777,5.117854716429417e-07,0.255012047149372,0.4742352082186666,1.230573253574145e-05,0.0247631905675365,0.4760309211447489,,,
best_per_cell,1,DH_1_CONTROL,DH,CONTROL,DH_1_CONTROL__hybrid_optuna_099,M1,mixed_local_spatial_buffering,14.37998457908929,0.3598312687182541,14.379885750991996,0.3598628598328197,1,1.1996661220636652e-08,0.0009639219104777,5.117854651262243e-07,0.2550120469773154,0.4742352082378285,1.2305732598021472e-05,0.0247631910335856,0.476030914660559,,,
best_per_cell,1,DH_1_MFA,DH,MFA,DH_1_MFA__hybrid_optuna_057,M1,kir_dominant_local_buffering,7.617809091500729,0.4141233334751723,7.617809091500729,0.4141233334751723,2,5.9078902720612464e-08,3.5398302483569986e-05,6.697544368255835e-06,0.1864084103281081,1.9347288504802338e-10,4.0965756006929646e-14,0.0933589814574053,0.7543739959998792,,,
best_per_cell,1,DH_1_MFA_BA,DH,MFA_BA,DH_1_MFA_BA__hybrid_optuna_094,M3,recruited_surface_gap_assisted_buffering,9.2903736093772,0.5002343326983888,9.2903736093772,0.5002343326983888,2,0.0010372803740804,2.2174884575555303e-05,8.794145260307696e-05,1.5799875219699269,0.8782379378143435,0.49949297865659,0.5020402316128584,0.4976611297850196,,,
best_per_cell,1,DH_2_CONTROL,DH,CONTROL,DH_2_CONTROL__hybrid_optuna_044,M1,low_recruitment_local_storage,6.691091388914987,0.3205460241541799,6.680108984440455,0.3200100880015195,1,5.40962804894205e-07,5.414761089981999e-06,0.0005826907540579,0.0754642657045525,1.6559898877844283e-16,0.0,0.0774388167143483,0.4220118476583864,,,
best_per_cell,1,DH_2_MFA,DH,MFA,DH_2_MFA__hybrid_optuna_089,M2,kir_dominant_local_buffering,6.531705655214541,0.4039584588384186,6.514858125927517,0.4034658048643297,1,6.190306186306563e-08,9.920679668590177e-07,1.6949260351291846e-05,0.0599586399019006,0.0004670173367468,8.478057159548557e-06,0.0866869462282207,0.9000122943347556,,,
best_per_cell,1,DH_2_MFA_BA,DH,MFA_BA,DH_2_MFA_BA__hybrid_optuna_064,M3,recruited_surface_gap_assisted_buffering,4.77898306267596,0.5002343326983888,4.77898306267596,0.5002343326983888,2,0.0010372803740804,2.2174884575555303e-05,8.794145260307696e-05,1.5799875219699269,0.8782379378143435,0.49949297865659,0.5020402316128584,0.4976611297850196,,,
best_per_cell,1,DH_3_MFA,DH,MFA,DH_3_MFA__hybrid_optuna_099,M2,available_surface_voltage_coupled_but_ionic_recruitment_low,5.1738325931057805,0.3999937647234321,5.174060065392665,0.4000036341686446,1,5.913674084541693e-08,2.180500489771518e-08,7.961929856263713e-06,2.705363745813464,9.859297130281808e-305,7.410911899284294e-306,0.4428733336316954,0.5557600953718164,,,
best_per_cell,1,DH_3_MFA_BA,DH,MFA_BA,DH_3_MFA_BA__hybrid_optuna_084,M3,recruited_surface_gap_assisted_buffering,3.6648485637389294,0.6539194370885316,3.664848557554818,0.6539198194098773,1,0.006004480331788,0.0004748639643733,0.0078823067326611,0.2225470795869807,0.8168816164714974,0.4983764391204631,0.5987294842016618,0.3443563808042362,,,
best_per_cell,1,DH_4_MFA,DH,MFA,DH_4_MFA__hybrid_optuna_071,M1,mixed_local_spatial_buffering,9.690425414748626,0.4054007520561402,9.690425414748626,0.4054007520561402,2,3.57538604039399e-08,1.459066821891249e-06,3.4618459927224015e-08,1.7969551065164342,0.361012035958337,2.5334015640253105e-08,0.0393693168559369,0.4783530564972518,,,
best_per_cell,1,DH_4_MFA_BA,DH,MFA_BA,DH_4_MFA_BA__hybrid_optuna_009,M3,available_surface_voltage_coupled_but_ionic_recruitment_low,5.7407085435306975,0.501154708041544,5.747983450966527,0.5011547091449916,1,4.106585562403023e-05,5.890752019306703e-06,1.3953305003523227e-08,0.0941316984893462,9.0470495105492e-14,2.234248681373641e-15,0.4994546008715241,0.5003332368800874,,,
best_per_cell,1,DH_5_MFA,DH,MFA,DH_5_MFA__hybrid_optuna_099,M2,available_surface_voltage_coupled_but_ionic_recruitment_low,7.721973853652833,0.3999937647234321,7.72208158024421,0.3999992487855623,1,5.913674084541693e-08,2.180500489771518e-08,7.961929856263713e-06,2.705363745813464,9.859297130281808e-305,7.410911899284294e-306,0.4428733336316954,0.5557600953718164,,,
best_per_cell,1,DH_5_MFA_BA,DH,MFA_BA,DH_5_MFA_BA__hybrid_optuna_090,M3,recruited_surface_gap_assisted_buffering,7.756491796912903,0.6539194370885316,7.756491791800969,0.6539205914599983,1,0.006004480331788,0.0004748639643733,0.0078823067326611,0.2225470795869807,0.8168816164714974,0.4983764391204631,0.5987294842016618,0.3443563808042362,,,
best_per_cell,1,DH_6_MFA,DH,MFA,DH_6_MFA__hybrid_optuna_089,M2,kir_dominant_local_buffering,6.095703691089766,0.4120279411059476,5.750019158511894,0.4041954131080984,1,1.831772358374243e-08,6.677572302239178e-08,2.3775778615364685e-07,0.3488310266310853,1.3558451251545483e-85,9.490475675618964e-89,0.297479412042332,0.7019967259355027,,,
best_per_cell,1,DH_6_MFA_BA,DH,MFA_BA,DH_6_MFA_BA__hybrid_optuna_070,M3,recruited_surface_gap_assisted_buffering,6.93457064559709,0.5002343326983888,6.93457064559709,0.5002343326983888,2,0.0010372803740804,2.2174884575555303e-05,8.794145260307696e-05,1.5799875219699269,0.8782379378143435,0.49949297865659,0.5020402316128584,0.4976611297850196,,,
