mechanism_cluster,region,condition,biological_description_score_tp50,biological_description_score_tp80,biological_description_score_tp120,mean_weighted_ppc_coverage_tp50,mean_weighted_ppc_coverage_tp80,mean_weighted_ppc_coverage_tp120,perturbation_robust_fraction_tp50,perturbation_robust_fraction_tp80,perturbation_robust_fraction_tp120,validation_label_tp50,validation_label_tp80,validation_label_tp120,validation_label_stable_across_time_points
M1,DH,MFA,0.6760582010582011,0.674074074074074,0.673611111111111,0.43055555555555564,0.43055555555555564,0.43055555555555564,0.375,0.375,0.375,prediction_limited,prediction_limited,prediction_limited,True
M1,DH,MFA_BA,0.8161179698216735,0.8168124142661182,0.8115826474622772,0.49185528120713307,0.49185528120713307,0.48191015089163236,1.0,1.0,1.0,predictive_supported,predictive_supported,predictive_supported,True
M1,VH,CONTROL,0.43828703703703703,0.43805555555555553,0.43805555555555553,0.08148148148148149,0.08148148148148149,0.08148148148148149,0.0,0.0,0.0,prediction_limited,prediction_limited,prediction_limited,True
M1,VH,MFA,0.7000096710591994,0.6888888888888889,0.6884259259259259,0.26302785265049416,0.3055555555555556,0.3055555555555556,0.875,0.75,0.75,predictive_supported,predictive_supported,predictive_supported,True
M1,VH,MFA_BA,0.6146604938271605,0.6165454144620812,0.5996693121693122,0.25749559082892415,0.25749559082892415,0.2552910052910053,0.5208333333333334,0.5208333333333334,0.4479166666666667,predictive_supported,predictive_supported,prediction_limited,False
M2,DH,CONTROL,0.6924603174603174,0.6833333333333333,0.6825396825396826,0.3439153439153439,0.3280423280423281,0.3280423280423281,0.7083333333333334,0.6904761904761905,0.6904761904761905,predictive_supported,predictive_supported,predictive_supported,True
M2,DH,MFA,0.669863315696649,0.6679012345679012,0.6649691358024692,0.43055555555555564,0.43055555555555564,0.43055555555555564,0.4166666666666667,0.4097222222222222,0.3958333333333333,prediction_limited,prediction_limited,prediction_limited,True
M2,VH,MFA,0.7008611922232205,0.6813657407407407,0.6884259259259259,0.26302785265049416,0.3055555555555556,0.3055555555555556,0.875,0.7083333333333334,0.75,predictive_supported,predictive_supported,predictive_supported,True
M3,DH,MFA,0.6573412698412698,0.6564814814814814,0.6513888888888889,0.43055555555555564,0.43055555555555564,0.43055555555555564,0.3541666666666667,0.3541666666666667,0.3333333333333333,prediction_limited,prediction_limited,prediction_limited,True
M3,VH,MFA_BA,0.6077050264550264,0.608123897707231,0.6048473324514991,0.25749559082892415,0.25749559082892415,0.2552910052910053,0.4166666666666667,0.4236111111111111,0.4166666666666667,prediction_limited,prediction_limited,prediction_limited,True
