mechanism_cluster,region,condition,n_candidates,n_cells,holdout_pass_fraction,mean_weighted_ppc_coverage,perturbation_robust_fraction,perturbation_vm_feature_pass_fraction,hidden_flux_plausible_fraction,biological_description_score,buffering_phenotype_labels,step05_evidence_status,validation_label,step06_screen_claim,final_biological_degeneracy_claim_allowed,degeneracy_claim_allowed,claim_scope_after_step06,time_points,elapsed_seconds
M1,DH,MFA,2,2,1.0,0.43055555555555564,0.375,0.5747354497354498,1.0,0.6760582010582011,available_surface_voltage_coupled_but_ionic_recruitment_low,candidate_regime_screen,prediction_limited,mechanism_candidate_not_supported_by_step06_screen,False,False,mechanism_candidate_not_supported_by_step06_screen; final degeneracy wording remains prohibited until assumption-sensitivity and parameter-plausibility checks pass,50,49.359637188994384
M1,DH,MFA_BA,6,6,1.0,0.49185528120713307,1.0,0.5887345679012346,1.0,0.8161179698216735,available_surface_voltage_coupled_but_ionic_recruitment_low;recruited_surface_gap_assisted_buffering,candidate_regime_screen,predictive_supported,candidate_regime_supported_by_step06_predictive_perturbation_screen,False,False,candidate_regime_supported_by_step06_predictive_perturbation_screen; final degeneracy wording remains prohibited until assumption-sensitivity and parameter-plausibility checks pass,50,49.359637188994384
M1,VH,CONTROL,2,2,1.0,0.08148148148148149,0.0,0.10995370370370372,1.0,0.43828703703703703,kir_dominant_local_buffering;mixed_local_spatial_buffering,candidate_regime_screen,prediction_limited,mechanism_candidate_not_supported_by_step06_screen,False,False,mechanism_candidate_not_supported_by_step06_screen; final degeneracy wording remains prohibited until assumption-sensitivity and parameter-plausibility checks pass,50,49.359637188994384
M1,VH,MFA,1,1,1.0,0.26302785265049416,0.875,0.3620205026455026,1.0,0.7000096710591994,kir_dominant_local_buffering,candidate_regime_screen,predictive_supported,candidate_regime_supported_by_step06_predictive_perturbation_screen,False,False,candidate_regime_supported_by_step06_predictive_perturbation_screen; final degeneracy wording remains prohibited until assumption-sensitivity and parameter-plausibility checks pass,50,49.359637188994384
M1,VH,MFA_BA,4,4,1.0,0.25749559082892415,0.5208333333333334,0.29497354497354505,1.0,0.6146604938271605,recruited_surface_gap_assisted_buffering,candidate_regime_screen,predictive_supported,candidate_regime_supported_by_step06_predictive_perturbation_screen,False,False,candidate_regime_supported_by_step06_predictive_perturbation_screen; final degeneracy wording remains prohibited until assumption-sensitivity and parameter-plausibility checks pass,50,49.359637188994384
M2,DH,CONTROL,7,7,1.0,0.3439153439153439,0.7083333333333334,0.4100529100529101,1.0,0.6924603174603174,low_recruitment_local_storage;mixed_local_spatial_buffering,candidate_regime_screen,predictive_supported,candidate_regime_supported_by_step06_predictive_perturbation_screen,False,False,candidate_regime_supported_by_step06_predictive_perturbation_screen; final degeneracy wording remains prohibited until assumption-sensitivity and parameter-plausibility checks pass,50,49.359637188994384
M2,DH,MFA,3,3,1.0,0.43055555555555564,0.4166666666666667,0.5020943562610228,1.0,0.669863315696649,kir_dominant_local_buffering;mixed_local_spatial_buffering,candidate_regime_screen,prediction_limited,mechanism_candidate_not_supported_by_step06_screen,False,False,mechanism_candidate_not_supported_by_step06_screen; final degeneracy wording remains prohibited until assumption-sensitivity and parameter-plausibility checks pass,50,49.359637188994384
M2,VH,MFA,1,1,1.0,0.26302785265049416,0.875,0.36627810846560843,1.0,0.7008611922232205,kir_dominant_local_buffering,candidate_regime_screen,predictive_supported,candidate_regime_supported_by_step06_predictive_perturbation_screen,False,False,candidate_regime_supported_by_step06_predictive_perturbation_screen; final degeneracy wording remains prohibited until assumption-sensitivity and parameter-plausibility checks pass,50,49.359637188994384
M3,DH,MFA,1,1,1.0,0.43055555555555564,0.3541666666666667,0.501984126984127,1.0,0.6573412698412698,kir_dominant_local_buffering,candidate_regime_screen,prediction_limited,mechanism_candidate_not_supported_by_step06_screen,False,False,mechanism_candidate_not_supported_by_step06_screen; final degeneracy wording remains prohibited until assumption-sensitivity and parameter-plausibility checks pass,50,49.359637188994384
M3,VH,MFA_BA,3,3,1.0,0.25749559082892415,0.4166666666666667,0.3643628747795414,1.0,0.6077050264550264,kir_dominant_local_buffering;low_recruitment_local_storage;recruited_surface_gap_assisted_buffering,candidate_regime_screen,prediction_limited,mechanism_candidate_not_supported_by_step06_screen,False,False,mechanism_candidate_not_supported_by_step06_screen; final degeneracy wording remains prohibited until assumption-sensitivity and parameter-plausibility checks pass,50,49.359637188994384
