region,condition,sweep,feature,n_predictions,empirical_lower,empirical_upper,coverage_fraction,reliability_weight,weighted_coverage,threshold_fallback
DH,CONTROL,1,decay_slope_mV_per_s,1,-0.8623325216732924,19.373751065233037,1.0,1.0,1.0,region_specific
DH,CONTROL,1,decay_tau_s,1,-0.019749999999993,0.5702499999999961,0.0,1.0,0.0,region_specific
DH,CONTROL,1,peak_depolarization_mV,1,5.260866999999944,9.464395000000035,0.0,1.0,0.0,region_specific
DH,CONTROL,1,plateau_slope_mV_per_s,1,-0.1027361438688899,0.0663633469697486,1.0,1.0,1.0,region_specific
DH,CONTROL,1,return_slope_mV_per_s,1,0.0151476126365081,0.0417890517362278,0.0,1.0,0.0,region_specific
DH,CONTROL,1,rise_slope_mV_per_s,1,-1.460831597599905,15.745257182039415,1.0,1.0,1.0,region_specific
DH,CONTROL,1,rise_tau_s,1,-0.0182499999999987,0.7277499999999999,0.0,1.0,0.0,region_specific
DH,CONTROL,1,stim_end_depolarization_mV,1,4.284524999999999,9.021125000000008,0.0,0.45,0.0,region_pooled
DH,CONTROL,1,undershoot_magnitude_mV,1,-0.6903599999999983,2.762808000000007,1.0,1.0,1.0,region_specific
DH,CONTROL,2,decay_slope_mV_per_s,1,-2.873913645532708,28.93746531081794,1.0,1.0,1.0,region_specific
DH,CONTROL,2,decay_tau_s,1,-0.0562499999999976,0.6257499999999974,0.0,1.0,0.0,region_specific
DH,CONTROL,2,peak_depolarization_mV,1,7.412254999999986,14.575079,0.0,1.0,0.0,region_specific
DH,CONTROL,2,plateau_slope_mV_per_s,1,-0.1444702547464052,0.1136515687781819,1.0,1.0,1.0,region_specific
DH,CONTROL,2,return_slope_mV_per_s,1,-0.0116479774217674,0.0901393350023994,1.0,1.0,1.0,region_specific
DH,CONTROL,2,rise_slope_mV_per_s,1,0.3935541577197412,24.76381394160988,0.0,1.0,0.0,region_specific
DH,CONTROL,2,rise_tau_s,1,-0.0287499999999987,0.6492499999999986,0.0,1.0,0.0,region_specific
DH,CONTROL,2,stim_end_depolarization_mV,1,4.855575000000002,16.048975,0.0,0.45,0.0,region_pooled
DH,CONTROL,2,undershoot_magnitude_mV,1,-2.086111999999993,4.5085439999999934,1.0,1.0,1.0,region_specific
DH,CONTROL,3,decay_slope_mV_per_s,1,-7.065505428607258,38.53942795099748,1.0,1.0,1.0,region_specific
DH,CONTROL,3,decay_tau_s,1,0.0249999999999994,0.5450000000000026,0.0,1.0,0.0,region_specific
DH,CONTROL,3,peak_depolarization_mV,1,9.712984999999994,18.706304999999997,0.0,1.0,0.0,region_specific
DH,CONTROL,3,plateau_slope_mV_per_s,1,-0.1527591819461795,0.1303650937973432,1.0,1.0,1.0,region_specific
DH,CONTROL,3,return_slope_mV_per_s,1,0.0084657526155974,0.0652759286899555,0.0,1.0,0.0,region_specific
DH,CONTROL,3,rise_slope_mV_per_s,1,-3.336454642853605,37.472380971364096,1.0,1.0,1.0,region_specific
DH,CONTROL,3,rise_tau_s,1,-0.0514999999999998,0.6405000000000003,0.0,1.0,0.0,region_specific
DH,CONTROL,3,stim_end_depolarization_mV,1,8.666074999999996,18.37707500000001,0.0,0.45,0.0,region_pooled
DH,CONTROL,3,undershoot_magnitude_mV,1,-2.1958570000000144,4.737399000000014,1.0,1.0,1.0,region_specific
DH,CONTROL,4,decay_slope_mV_per_s,1,-6.441900541365591,42.91118969507989,1.0,1.0,1.0,region_specific
DH,CONTROL,4,decay_tau_s,1,-0.0650000000000021,0.7150000000000061,0.0,1.0,0.0,region_specific
DH,CONTROL,4,peak_depolarization_mV,1,12.896381999999994,21.81593400000002,0.0,1.0,0.0,region_specific
DH,CONTROL,4,plateau_slope_mV_per_s,1,-0.1789835423517465,0.1626731029973661,1.0,1.0,1.0,region_specific
